filepath,Block,Prolongation,SoundRep,WordRep,Interjection,Fluent,transcript
clips/HeStutters/0/HeStutters_0_2.wav,0,0,0,0,0,1, assertive when we change.
clips/HeStutters/0/HeStutters_0_3.wav,0,1,0,0,0,0, The roles which
clips/HeStutters/0/HeStutters_0_4.wav,0,0,0,0,0,1, I explained to her.
clips/HeStutters/0/HeStutters_0_5.wav,0,1,0,0,0,0, with their relationships.
clips/HeStutters/0/HeStutters_0_6.wav,0,0,0,0,0,1, to go on that course.
clips/HeStutters/0/HeStutters_0_9.wav,0,0,0,0,0,1, people who still stutter.
clips/HeStutters/0/HeStutters_0_10.wav,0,0,0,0,1,0, they speak.
clips/HeStutters/0/HeStutters_0_11.wav,0,0,0,0,0,1, that we deal with known as stuttering.
clips/HeStutters/0/HeStutters_0_12.wav,0,0,0,0,0,1, their fluency.
clips/HeStutters/0/HeStutters_0_13.wav,0,0,0,1,1,0, they have. Hey!
clips/HeStutters/0/HeStutters_0_14.wav,1,0,0,0,0,0, I had so many negative
clips/HeStutters/0/HeStutters_0_15.wav,0,0,0,0,0,1, of the things that
clips/HeStutters/0/HeStutters_0_16.wav,0,0,0,0,0,1, Each time I avoided the troubles
clips/HeStutters/0/HeStutters_0_19.wav,0,1,0,0,0,0, and so I was filled
clips/HeStutters/0/HeStutters_0_20.wav,0,0,0,0,0,1, It was a huge temptation.
clips/HeStutters/0/HeStutters_0_22.wav,0,0,0,0,0,1, And when I was a very young police
clips/HeStutters/0/HeStutters_0_24.wav,0,0,0,0,0,1, with me every day.
clips/HeStutters/0/HeStutters_0_25.wav,0,1,0,0,0,0, prosthetic devices.
clips/HeStutters/0/HeStutters_0_26.wav,0,0,0,0,0,1, that I'm hearing from you now.
clips/HeStutters/0/HeStutters_0_27.wav,1,0,1,1,1,0, approaches that you...
clips/HeStutters/0/HeStutters_0_28.wav,0,1,0,0,0,0, in half a century.
clips/HeStutters/0/HeStutters_0_29.wav,0,0,0,0,0,1, How much money?
clips/HeStutters/0/HeStutters_0_31.wav,0,1,0,0,0,0, and after about
clips/HeStutters/0/HeStutters_0_32.wav,0,0,0,0,0,1, Let me see after the bout.
clips/HeStutters/0/HeStutters_0_33.wav,1,1,0,0,0,0, I vouch that I would
clips/HeStutters/0/HeStutters_0_34.wav,0,0,0,0,0,1, But it all changed.
